Name	Website	Email	Telephone	Director	Coordinator	Coord Email
						
Citzens Advice	www.citizensadvicecn.org.uk					
Cre8 Youth and Community Program	www.cre8macclesfield.org	hello@cre8macclesfield.org	01625 503740	Ameera Fletcher	Katy Wardle	
Eco-Church in the Community			01625 420716		David Mayers	
Golden Memories		bob-bowland@jerome-associates.co.uk		Bob Bowland		
The Hope Centre	www.hopecentremacclesfield.org.uk	manager@hopecentremacclesfield.org.uk	01625 404384			
Just Drop In		hello@justdropin.co.uk	01625 665075	Ann Wright		
Open the Book		dotphillips@outlook.com	01625 260607		Dot Phillips	
Silklife Foodbank	www.facebook.com/silklifefoodbank	foodbank@silklife.co.uk	07895 85007			
Street Angels		streetangelsmacclesfield@gmail.com	07494 805487		Pip Mosscrop	pipmosscrop2@yahoo.co.uk
ROAR(Reach Out and Recover)	www.reachoutandrecover.org	jillmillard@reachoutandrecover.org	01625 619106			vickymillward@reachoutandrecover.org
Core Food Pantry		core.pantry@gmail.com	07586 358610			
Hope Food Partnership		pipmosscrop2@yahoo.co.uk	07715 495701			
